OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
6684	1014560035	1045287	1963	847221	2100	Photogramm	{7CCC6009-D949-45B1-A607-A5A6F70B39B2}	31	118.66	8/22/2017 0:00	00:00.0	Constructed	1014560035	 	24262.41103	0	1045287	14900	1041.902419	1442.260337	198.4550223
6687	1005640045	1009211	1910	720320	2100	Photogramm	{5359BF13-F0B2-4724-8AB9-89AE2D7B0F9B}	44	34.86	8/22/2017 0:00	00:00.0	Constructed	1005640045	 	10838.25391	0	1009211	1400	1056.748758	137.4453739	18.91248345
6697	1012920069	1035792	1940	605810	2100	Photogramm	{30E06580-85CD-4A5D-8E82-033773DFFBA7}	53	175.48	8/22/2017 0:00	00:00.0	Constructed	1012920069	 	10424.39198	0	1035792	0	0	0	0
6706	1002340001	1079573	1964	649374	2100	Photogramm	{91CFAABA-4F4D-44AD-8C2F-081C3F5CF83B}	20	49.03730723	3/26/2019 0:00	00:00.0	Constructed	1002340001	 	9899.132579	0	1079573	8500	1077.865549	851.1652064	117.1203324
6707	1019460029	1084271	1900	413401	2100	Photogramm	{1AD1C9B7-4637-41B5-8891-12B1A00FCC34}	30	58.83981739	3/26/2019 0:00	00:00.0	Constructed	1019460029	 	9561.161389	0	1084271	7900	1123.420117	824.5170363	113.4535442
6708	1020020069	1059970	1905	239775	2100	Photogramm	{F33FBA43-61DB-4C38-9742-E36E49E6CD0C}	69	71.9	8/22/2017 0:00	00:00.0	Constructed	1020020069	 	10113.77434	0	1059970	8500	1127.764113	890.5689355	122.5422855
6714	1006380004	1078335	1920	107693	2100	Photogramm	{2395833C-79C6-4C58-B3DE-43F704BB3A43}	8	88.33	3/26/2019 0:00	00:00.0	Constructed	1006380004	 	9481.699427	0	1078335	5500	1033.5445	528.1073543	72.66757195
6726	1008380047	1015937	2010	1111936	2100	Other (Man	{D92024DE-ED9C-4773-ADCA-5F1ACF48CC67}	72	592	8/22/2017 0:00	00:00.0	Constructed	1008387501	 	16647.11551	0	1015937	1400	962.9765887	125.2489548	17.23425617
6728	1010180057	1024747	1926	399065	2100	Photogramm	{7E3CC101-07EA-4CDB-8DE9-D501C0FE8FF7}	46	65.76	8/22/2017 0:00	00:00.0	Constructed	1010180057	Brooks Atkinson Theatre	9998.191545	0	1024747	0	0	0	0
6729	1001760026	1088646	2017	1250503	2100	Other (Man	{EA0689A1-0942-4830-88BF-CEA3A29BCEB1}	4	255	2/7/2018 0:00	00:00.0	Constructed	1001767501	 	15345.59038	0	1088646	900	980.2771335	81.96373249	11.27820959
6730	1001730004	1001874	1880	378538	2100	Other (Man	{45AA9AFD-2BF8-47A3-946B-D4D917F756B3}	22	86	8/22/2017 0:00	00:00.0	Constructed	1001737503	 	12926.16071	0	1001874	3700	878.0139935	301.809918	41.52904471
